Red,Red,Green,Green,Blue,Blue
X,Y,X,Y,X,Y
-2.8239243577816184,0.208149060824105,-2.8239243577816184,0.6335558027032406,-2.7783092900947426,0.8506764334100172
-2.6930321170219407,0.21231797146826192,-2.6930321170219407,0.6382214115935017,-2.6930321170219407,0.8621706383260221
-2.59156895218928,0.2166503225806471,-2.59156895218928,0.6382214115935017,-2.59156895218928,0.8691690516614132
-2.490105787356619,0.2179833536921496,-2.490105787356619,0.6382214115935017,-2.490105787356619,0.8695023094392891
-2.3886426225239576,0.22398199369391403,-2.3886426225239576,0.6445533093731415,-2.3886426225239576,0.8778337538861836
-2.2871794576912965,0.23297995369656022,-2.2871794576912965,0.6535512693757872,-2.2871794576912965,0.8951631583357238
-2.1857162928586353,0.24697678036734239,-2.1857162928586353,0.6688811271580728,-2.1857162928586353,0.9261561316781703
-2.084253128025974,0.26863853592926823,-2.084253128025974,0.692209171609377,-2.084253128025974,0.9698129005798974
-1.982789963193313,0.29996476704959063,-1.982789963193313,0.7248684338412028,-1.982789963193313,1.0254669494851516
-1.8813267983606519,0.34062221595043507,-1.8813267983606519,0.7685252027429295,-1.8813267983606519,1.0891191850594244
-1.7798636335279912,0.3882780781866706,-1.7798636335279912,0.8205134160915502,-1.7798636335279912,1.149772100632815
-1.67840046869533,0.43893326042378833,-1.67840046869533,0.8778337538861836,-1.67840046869533,1.2077589539832
-1.5769373038626688,0.4905882159945336,-1.5769373038626688,0.9378201539038229,-1.5769373038626688,1.2764100562256098
-1.4754741390300077,0.544575976010409,-1.4754741390300077,0.9984730694772135,-1.4754741390300077,1.3553921495821681
-1.3740109741973465,0.6002300249156631,-1.3740109741973465,1.058792727272729,-1.3740109741973465,1.4267093140475837
-1.2725478093646854,0.6578836204881724,-1.2725478093646854,1.1194456428461197,-1.2725478093646854,1.492694354066987
-1.1710846445320247,0.7182032782836876,-1.1710846445320247,1.178099011752256,-1.1710846445320247,1.5580128785306386
-1.0696214796993635,0.7818555138579604,-1.0696214796993635,1.2370856384362683,-1.0696214796993635,1.6233314029942907
-0.9681583148667023,0.8465075227658607,-0.9681583148667023,1.2954057495645288,-0.9681583148667023,1.689316443013694
-0.8666951500340412,0.9101597583401335,-0.8666951500340412,1.3547256340264164,-0.8666951500340412,1.7553014830330973
-0.76523198520138,0.9708126739135245,-0.76523198520138,1.4143787762661804,-0.76523198520138,1.8216197808303765
-0.6637688203687189,1.0287995272639092,-0.6637688203687189,1.475031691839571,-0.6637688203687189,1.8899376252949103
-0.5623056555360577,1.0841203183912875,-0.5623056555360577,1.534351576301459,-0.5623056555360577,1.958255469759444
-0.460842490703397,1.1397743672965421,-0.460842490703397,1.5940047185412225,-0.460842490703397,2.028572860891232
-0.35937932587073584,1.1940953850902933,-0.35937932587073584,1.6526580874473589,-0.35937932587073584,2.097223963133642
-0.2579161610380747,1.249749433995548,-0.2579161610380747,1.7093119096862401,-0.2579161610380747,2.1655418075981756
-0.15645299620541353,1.307069771790181,-0.15645299620541353,1.7636329274799918,-0.15645299620541353,2.2335263942848336
-0.054989831372752374,1.3650566251405656,-0.054989831372752374,1.8172874297179913,-0.054989831372752374,2.3001779498599886
0.04647333345990834,1.4173780962670621,0.04647333345990834,1.8712751897338666,0.04647333345990834,2.3644967009900126
0.1479364982925695,1.4696995673935587,0.1479364982925695,1.9232634030824873,0.1479364982925695,2.426149389897031
0.24939966312523065,1.5220210385200552,0.24939966312523065,1.9752516164311085,0.24939966312523065,2.4864690476925464
0.3508628279578918,1.575009025202303,0.3508628279578918,2.0259067986682258,0.3508628279578918,2.545788932154434
0.45232599279055297,1.6269972385509242,0.45232599279055297,2.0755622075717164,0.45232599279055297,2.6044423010605704
0.5537891576232141,1.677319163010166,0.5537891576232141,2.125217616475207,0.5537891576232141,2.663762185522458
0.6552523224558753,1.7239752519127745,0.6552523224558753,2.1735399942671942,0.6552523224558753,2.7240818433179737
0.7567154872885364,1.7692983097038795,0.7567154872885364,2.2225288876149327,0.7567154872885364,2.785734532224992
0.8581786521211976,1.809289243048973,0.8581786521211976,2.270518007629044,0.8581786521211976,2.8490535100213887
0.9596418169538588,1.849946691949817,0.9596418169538588,2.317840612087404,0.9596418169538588,2.9170380967080467
1.06110498178652,1.8899376252949103,1.06110498178652,2.3648299587678885,1.06110498178652,2.988688518951338
1.1395083364299392,1.9212638564152331,1.158834836431299,2.4066903677011284,1.1586372357825034,3.056032097447922
,,,,-2.8337257210123603,0.8432748538011707
